Supermodule_ID,PMT_ID,Sum_of_8_ID
078,07802,h4
078,07803,h4
078,07804,h3
078,07805,h4
078,07806,h4
078,07807,i3
078,07808,i4
078,07809,i4
079,07901,h5
079,07902,h5
079,07903,h6
079,07904,h5
079,07905,h5
079,07906,h6
079,07907,i5
079,07908,i5
079,07909,i6
080,08001,h6
080,08002,h7
080,08003,h7
080,08004,h6
080,08005,h7
080,08006,h7
080,08007,i6
080,08008,i7
080,08009,i7
081,08101,h8
081,08102,h8
081,08103,h9
081,08104,h8
081,08105,h8
081,08106,h9
081,08107,i8
081,08108,i8
081,08109,i9
082,08201,h9
082,08202,h10
082,08203,h10
082,08204,h9
082,08205,h10
082,08206,h10
082,08207,i9
082,08208,i10
082,08209,i10
083,08301,h11
083,08302,h11
083,08303,h12
083,08304,h11
083,08305,h11
083,08306,h12
083,08307,i11
083,08308,i11
083,08309,i12
084,08401,h12
084,08402,h13
084,08403,h13
084,08404,h12
084,08405,h13
084,08406,h13
084,08407,i12
084,08408,i13
084,08409,i13
085,08501,h14
085,08502,h14
085,08503,h15
085,08504,h14
085,08505,h14
085,08506,h15
085,08507,i14
085,08508,i14
085,08509,i15
086,08601,i2
086,08602,i2
086,08603,i3
086,08604,i2
086,08605,i2
086,08606,i3
086,08607,i2
086,08608,i2
086,08609,i3
087,08701,i3
087,08702,i4
087,08703,i4
087,08704,i3
087,08705,i4
087,08706,i4
087,08707,i3
087,08708,i4
087,08709,i4
088,08801,i5
088,08802,i5
088,08803,i6
088,08804,i5
088,08805,i5
088,08806,i6
088,08807,i5
088,08808,i5
088,08809,i6
089,08901,i6
089,08902,i7
089,08903,i7
089,08904,i6
089,08905,i7
089,08906,i7
089,08907,i6
089,08908,i7
089,08909,i7
090,09001,i8
090,09002,i8
090,09003,i9
090,09004,i8
090,09005,i8
090,09006,i9
090,09007,i8
090,09008,i8
090,09009,i9
091,09101,i9
091,09102,i10
091,09103,i10
091,09104,i9
091,09105,i10
091,09106,i10
091,09107,i9
091,09108,i10
091,09109,i10
092,09201,i11
092,09202,i11
092,09203,i12
092,09204,i11
092,09205,i11
