012_3, b3, [' T10', ' T27', ' U1', ' U19'], [' a2:b3', ' a3:b4', ' b2:c3', ' b3:c4']
012_4, b2, [' T1', ' T10', ' T19', ' T27'], [' a1:b2', ' a2:b3', ' b1:c2', ' b2:c3']
012_5, b3, [' T10', ' T27', ' U1', ' U19'], [' a2:b3', ' a3:b4', ' b2:c3', ' b3:c4']
012_6, b3, [' T10', ' T27', ' U1', ' U19'], [' a2:b3', ' a3:b4', ' b2:c3', ' b3:c4']
012_7, c2, [' T11', ' T19', ' T2', ' T27'], [' b1:c2', ' b2:c3', ' c1:d2', ' c2:d3']
012_8, c3, [' T11', ' T27', ' U19', ' U2'], [' b2:c3', ' b3:c4', ' c2:d3', ' c3:d4']
012_9, c3, [' T11', ' T27', ' U19', ' U2'], [' b2:c3', ' b3:c4', ' c2:d3', ' c3:d4']
013_1, b4, [' U1', ' U10', ' U19', ' U27'], [' a3:b4', ' a4:b5', ' b3:c4', ' b4:c5']
013_2, b4, [' U1', ' U10', ' U19', ' U27'], [' a3:b4', ' a4:b5', ' b3:c4', ' b4:c5']
013_3, b5, [' U10', ' U27', ' V1', ' V19'], [' a4:b5', ' a5:b6', ' b4:c5', ' b5:c6']
013_4, b4, [' U1', ' U10', ' U19', ' U27'], [' a3:b4', ' a4:b5', ' b3:c4', ' b4:c5']
013_5, b4, [' U1', ' U10', ' U19', ' U27'], [' a3:b4', ' a4:b5', ' b3:c4', ' b4:c5']
013_6, b5, [' U10', ' U27', ' V1', ' V19'], [' a4:b5', ' a5:b6', ' b4:c5', ' b5:c6']
013_7, c4, [' U11', ' U19', ' U2', ' U27'], [' b3:c4', ' b4:c5', ' c3:d4', ' c4:d5']
013_8, c4, [' U11', ' U19', ' U2', ' U27'], [' b3:c4', ' b4:c5', ' c3:d4', ' c4:d5']
013_9, c5, [' U11', ' U27', ' V19', ' V2'], [' b4:c5', ' b5:c6', ' c4:d5', ' c5:d6']
014_1, b5, [' U10', ' U27', ' V1', ' V19'], [' a4:b5', ' a5:b6', ' b4:c5', ' b5:c6']
014_2, b6, [' V1', ' V10', ' V19', ' V27'], [' a5:b6', ' a6:b7', ' b5:c6', ' b6:c7']
014_3, b6, [' V1', ' V10', ' V19', ' V27'], [' a5:b6', ' a6:b7', ' b5:c6', ' b6:c7']
014_4, b5, [' U10', ' U27', ' V1', ' V19'], [' a4:b5', ' a5:b6', ' b4:c5', ' b5:c6']
014_5, b6, [' V1', ' V10', ' V19', ' V27'], [' a5:b6', ' a6:b7', ' b5:c6', ' b6:c7']
014_6, b6, [' V1', ' V10', ' V19', ' V27'], [' a5:b6', ' a6:b7', ' b5:c6', ' b6:c7']
014_7, c5, [' U11', ' U27', ' V19', ' V2'], [' b4:c5', ' b5:c6', ' c4:d5', ' c5:d6']
014_8, c6, [' V11', ' V19', ' V2', ' V27'], [' b5:c6', ' b6:c7', ' c5:d6', ' c6:d7']
014_9, c6, [' V11', ' V19', ' V2', ' V27'], [' b5:c6', ' b6:c7', ' c5:d6', ' c6:d7']
015_1, b7, [' V10', ' V27', ' W1', ' W19'], [' a6:b7', ' a7:b8', ' b6:c7', ' b7:c8']
015_2, b7, [' V10', ' V27', ' W1', ' W19'], [' a6:b7', ' a7:b8', ' b6:c7', ' b7:c8']
